      ,Title                                                                               ,Director                           ,Year ,Series                                                                                                                                  ,Date       ,Notes
    0 ,Out of Control                                                                      ,Ben Turpi                          ,   0 ,Documentary Series - Fall 1947                                                                                                          ,1947-11-11 ,Cartoon Origins
    1 ,Modern Guide to Health                                                              ,British                            ,   0 ,Winter 1952                                                                                                                             ,1952-01-29 ,No notes
    2 ,Easter Island                                                                       ,French                             ,1934 ,Film Study Group of the Documentary Film Group for the Intensive Study of the Motion Picture                                            ,1952-01-25 ,Coming of Sound (1929-1932)
    3 ,Cyrano de Bergerac                                                                  ,Hampden                            ,   0 ,Fiction and Documentary Films - Fall 1948                                                                                               ,1948-11-23 ,No notes
    4 ,Guns of Vengeance                                                                   ,(Mix)                              ,   0 ,Showdown: A History of the Western Hero                                                                                                 ,1965-01-19 ,No notes
    5 ,For All Eternity                                                                    ,Unknown                            ,1934 ,Sixth Revival Series                                                                                                                    ,1938-02-17 ,As UFS
    6 ,Today We Live                                                                       ,Joan Crawford                      ,1937 ,Sixth Revival Series                                                                                                                    ,1938-03-17 ,As UFS
    7 ,Blank Wedding                                                                       ,[France]                           ,   0 ,25th Annual Chicago International Film Festival                                                                                         ,1989-10-24 ,No notes
    8 ,Itinerary of a Spoiled Child                                                        ,[France]                           ,   0 ,25th Annual Chicago International Film Festival                                                                                         ,1989-10-26 ,No notes
    9 ,By the Will of God                                                                  ,[Hungary]                          ,   0 ,25th Annual Chicago International Film Festival                                                                                         ,1989-10-14 ,No notes
   10 ,"Borrower, The"                                                                     ,[USA]                              ,   0 ,25th Annual Chicago International Film Festival                                                                                         ,1989-10-27 ,No notes
   11 ,James Baldwin                                                                       ,[USA]                              ,   0 ,25th Annual Chicago International Film Festival                                                                                         ,1989-10-29 ,No notes
   12 ,Western                                                                             ,[USA]                              ,   0 ,25th Annual Chicago International Film Festival                                                                                         ,1989-11-02 ,No notes
   13 ,Zerograd                                                                            ,[USSR]                             ,   0 ,25th Annual Chicago International Film Festival                                                                                         ,1989-10-15 ,No notes
   14 ,Restricted Area                                                                     ,[USSR]                             ,   0 ,25th Annual Chicago International Film Festival                                                                                         ,1989-10-20 ,No notes
   15 ,China Strikes Back                                                                  ,8th Route Army                     ,   0 ,Autumn 1943                                                                                                                             ,1943-11-30 ,No notes
   16 ,Day in Soviet Russia                                                                ,90 cameramen                       ,1941 ,Summer 1943                                                                                                                             ,1943-07-13 ,No notes
   17 ,Traveling Light                                                                     ,"Aaron, J."                        ,1985 ,Women Animators                                                                                                                         ,1999-06-03 ,No notes
   18 ,"Corporation, The"                                                                  ,"Abbott, Achbar"                   ,2004 ,"Labor, Globalization, and the New Economy: Recent Films"                                                                               ,2006-01-16 ,No notes
   19 ,Night of the Counting Years                                                         ,Abdelsalam                         ,1969 ,Weekend - Winter 1978                                                                                                                   ,1978-02-09 ,No notes
   20 ,Hot Shots!                                                                          ,Abrahams                           ,1991 ,Weekend - Fall 1991 (Weekendz N the Hood)                                                                                               ,1991-12-07 ,No notes
   21 ,Ruthless People                                                                     ,"Abrahams, Zucker, Zucker"         ,1986 ,Weekend - Autumn 1986                                                                                                                   ,1986-11-14 ,No notes
   22 ,Pumpkin                                                                             ,"Abrams, Broder"                   ,2002 ,Weekend - Autumn 2002 (My Big Fat Greek Doc)                                                                                            ,2002-11-09 ,No notes
   23 ,Tableau ferraille                                                                   ,Absa                               ,1997 ,African Cinema                                                                                                                          ,2000-03-07 ,No notes
   24 ,Manufacturing Consent: Noam Chomsky and the Media                                   ,"Achbar, Wintonick"                ,1992 ,Weekend - Winter 1994 (The Age of Doc)                                                                                                  ,1994-02-05 ,No notes
   25 ,Shrek                                                                               ,"Adamson, Jenson"                  ,2001 ,Weekend - Autumn 2001 (Sexy Doc)                                                                                                        ,2001-10-12 ,No notes
   26 ,Up in Smoke                                                                         ,Adler                              ,1978 ,Uppers and Downers                                                                                                                      ,2003-04-09 ,No notes
   27 ,Zuckerbaby                                                                          ,Adlon                              ,1985 ,Open Foreign - Winter 1988                                                                                                              ,1988-01-24 ,No notes
   28 ,Kal Ho Naa Ho                                                                       ,Advani                             ,2003 ,Hindi Hearthrobs: Khan Men and Others                                                                                                   ,2005-06-01 ,No notes
   29 ,Mad Hot Ballroom                                                                    ,Agrelo                             ,2005 ,Chicago Int. Documentary Festival 2005                                                                                                  ,2005-04-02 ,No notes
   30 ,Wild Style                                                                          ,Ahearn                             ,1982 ,Hip Hop: Yes Yes Y’All                                                                                                                  ,2004-04-22 ,No notes
   31 ,"I, a Woman"                                                                        ,Ahlberg                            ,1965 ,Lust without Caution: Down 'n' Dirty Sexploitation Cinema                                                                               ,2008-01-24 ,No notes
   32 ,Madame Satan                                                                        ,Ainouz                             ,2002 ,Cine Brazil 2000s                                                                                                                       ,2006-02-22 ,No notes
   33 ,Jeanne Dielman …                                                                    ,Akerman                            ,1975 ,Fascism to Feminism                                                                                                                     ,1981-05-12 ,No notes
   34 ,Jeanne Dielman …                                                                    ,Akerman                            ,1975 ,Women Directors: A Survey of Classic and Contemporary Films                                                                             ,1983-04-25 ,No notes
   35 ,"Je, Tu. Il, Elle"                                                                  ,Akerman                            ,1974 ,Women Direct                                                                                                                            ,1991-01-28 ,No notes
   36 ,Rendezvous d'Anna                                                                   ,Akerman                            ,1978 ,Open Foreign - Winter 1991                                                                                                              ,1991-02-17 ,No notes
   37 ,Jeanne Dielman…                                                                     ,Akerman                            ,1975 ,Feminism in Film                                                                                                                        ,1994-04-18 ,No notes
   38 ,Jeanne Dielman …                                                                    ,Akerman                            ,1975 ,International Feminism                                                                                                                  ,1997-01-20 ,No notes
   39 ,Jeanne Dielman... **                                                                ,Akerman                            ,1975 ,Blank Tasks                                                                                                                             ,2002-12-01 ,No notes
   40 ,Jeanne Dielman …                                                                    ,Akerman                            ,1975 ,French Women Directors                                                                                                                  ,2004-02-17 ,No notes
   41 ,Testament                                                                           ,Akomfrah                           ,1988 ,24th Annual Chicago International Film Festival                                                                                         ,1988-11-02 ,No notes
   42 ,Testament                                                                           ,Akomfrah                           ,1988 ,Open Foreign - Winter 1992                                                                                                              ,1992-01-26 ,No notes
   43 ,Guests of the Hotel Astoria                                                         ,Alamehzadeh                        ,1989 ,25th Annual Chicago International Film Festival                                                                                         ,1989-10-14 ,No notes
   44 ,Lotte of the Marionettes                                                            ,Albes                              ,1913 ,"Red for Danger, Fire and Love: Early German Silent Films"                                                                              ,2002-01-07 ,No notes
   45 ,Madeleine                                                                           ,Albes                              ,1912 ,"Red for Danger, Fire and Love: Early German Silent Films"                                                                              ,2002-01-14 ,No notes
   46 ,Kiss Me Deadly                                                                      ,Aldrich                            ,1955 ,Seven Movies                                                                                                                            ,1969-01-23 ,"aka, Auteurs Hollywood Fucked Over"
   47 ,What Ever Happened to Baby Jane?                                                    ,Aldrich                            ,1962 ,Dead Pigeons & Knuckle Sandwiches                                                                                                       ,1973-11-06 ,No notes
   48 ,Kiss Me Deadly                                                                      ,Aldrich                            ,1955 ,Dead Pigeons & Knuckle Sandwiches                                                                                                       ,1973-11-13 ,No notes
   49 ,Legend of Lylah Claire                                                              ,Aldrich                            ,1968 ,Dead Pigeons & Knuckle Sandwiches                                                                                                       ,1973-11-20 ,No notes
   50 ,Attack!                                                                             ,Aldrich                            ,1956 ,Dead Pigeons & Knuckle Sandwiches                                                                                                       ,1973-11-27 ,No notes
   51 ,Last Sunset                                                                         ,Aldrich                            ,1961 ,"Knuckles, Death, Pigeon Sandwiches"                                                                                                    ,1978-01-10 ,No notes
   52 ,Vera Cruz                                                                           ,Aldrich                            ,1954 ,"Knuckles, Death, Pigeon Sandwiches"                                                                                                    ,1978-01-10 ,No notes
   53 ,"Hush…Hush, Sweet Charlotte"                                                        ,Aldrich                            ,1965 ,"Knuckles, Death, Pigeon Sandwiches"                                                                                                    ,1978-01-17 ,No notes
   54 ,Attack!                                                                             ,Aldrich                            ,1956 ,"Knuckles, Death, Pigeon Sandwiches"                                                                                                    ,1978-01-24 ,No notes
   55 ,Emperor of the North                                                                ,Aldrich                            ,1973 ,"Knuckles, Death, Pigeon Sandwiches"                                                                                                    ,1978-01-24 ,No notes
   56 ,Kiss Me Deadly                                                                      ,Aldrich                            ,1955 ,"Knuckles, Death, Pigeon Sandwiches"                                                                                                    ,1978-01-31 ,No notes
   57 ,Ten Seconds to Hell                                                                 ,Aldrich                            ,1959 ,Murder is My Business                                                                                                                   ,1979-06-06 ,No notes
   58 ,"Dirty Dozen, The"                                                                  ,Aldrich                            ,1967 ,Kiss Bang Bang Bang…                                                                                                                    ,1980-05-14 ,No notes
   59 ,Kiss Me Deadly                                                                      ,Aldrich                            ,1955 ,Visions of America                                                                                                                      ,1981-08-11 ,No notes
   60 ,Attack!                                                                             ,Aldrich                            ,1956 ,"Best of Doc Films: Auteurism in Practice -- American, Part I"                                                                          ,1982-11-03 ,No notes
   61 ,Kiss Me Deadly                                                                      ,Aldrich                            ,1955 ,"Noir, The"                                                                                                                             ,1984-10-08 ,No notes
   62 ,Kiss Me Deadly                                                                      ,Aldrich                            ,1955 ,Summer 1986                                                                                                                             ,1986-08-21 ,No notes
   63 ,"Dirty Dozen, The"                                                                  ,Aldrich                            ,1967 ,Robert Aldrich                                                                                                                          ,1987-10-05 ,No notes
   64 ,Autumn Leaves                                                                       ,Aldrich                            ,1956 ,Robert Aldrich                                                                                                                          ,1987-10-12 ,No notes
   65 ,Last Sunset                                                                         ,Aldrich                            ,1961 ,Robert Aldrich                                                                                                                          ,1987-10-19 ,No notes
   66 ,Ulzana's Raid                                                                       ,Aldrich                            ,1972 ,Robert Aldrich                                                                                                                          ,1987-10-26 ,No notes
   67 ,Vera Cruz                                                                           ,Aldrich                            ,1954 ,Robert Aldrich                                                                                                                          ,1987-10-26 ,No notes
   68 ,Emperor of the North                                                                ,Aldrich                            ,1973 ,Robert Aldrich                                                                                                                          ,1987-11-02 ,No notes
   69 ,All the Marbles                                                                     ,Aldrich                            ,1981 ,Robert Aldrich                                                                                                                          ,1987-11-09 ,No notes
   70 ,Hustle                                                                              ,Aldrich                            ,1975 ,Robert Aldrich                                                                                                                          ,1987-11-16 ,No notes
   71 ,Twilight's Last Gleaming                                                            ,Aldrich                            ,1977 ,Robert Aldrich                                                                                                                          ,1987-11-23 ,No notes
   72 ,Flight of the Phoenix                                                               ,Aldrich                            ,1966 ,Robert Aldrich                                                                                                                          ,1987-11-30 ,No notes
   73 ,Kiss Me Deadly                                                                      ,Aldrich                            ,1955 ,Tough Guys                                                                                                                              ,1989-11-09 ,No notes
   74 ,Apache                                                                              ,Aldrich                            ,1954 ,Revisionist Westerns                                                                                                                    ,1991-03-06 ,No notes
   75 ,Killing of Sister George                                                            ,Aldrich                            ,1968 ,Historical Gay & Lesbian Representation                                                                                                 ,1992-05-14 ,No notes
   76 ,Kiss Me Deadly                                                                      ,Aldrich                            ,1955 ,Pulp Noir                                                                                                                               ,1993-05-27 ,No notes
   77 ,Vera Cruz                                                                           ,Aldrich                            ,1954 ,Lawless                                                                                                                                 ,1996-11-21 ,No notes
   78 ,Kiss Me Deadly                                                                      ,Aldrich                            ,1955 ,Red Dawn                                                                                                                                ,1997-01-23 ,No notes
   79 ,What Ever Happened to Baby Jane?                                                    ,Aldrich                            ,1962 ,Summer 1997                                                                                                                             ,1997-08-20 ,No notes
   80 ,Hustle                                                                              ,Aldrich                            ,1975 ,70s Film Noir                                                                                                                           ,1997-11-11 ,No notes
   81 ,Kiss Me Deadly                                                                      ,Aldrich                            ,1955 ,Summer 2000                                                                                                                             ,2000-08-17 ,Director credited as Doug Eslin?
   82 ,What Ever Happened to Baby Jane?                                                    ,Aldrich                            ,1962 ,Aging Stars                                                                                                                             ,2001-10-16 ,No notes
   83 ,Kiss Me Deadly                                                                      ,Aldrich                            ,1955 ,Los Angeles Plays Itself                                                                                                                ,2007-02-06 ,No notes
   84 ,Cloistered                                                                          ,"Alexander, R."                    ,1936 ,Winter 1943                                                                                                                             ,1943-03-09 ,No notes
   85 ,Monastary                                                                           ,Alexandre                          ,   0 ,Winter 1944                                                                                                                             ,1944-02-22 ,No notes
   86 ,Alexeieff at the Pinboard                                                           ,Alexeieff                          ,1960 ,History of Animation 06 - Hubley                                                                                                        ,2005-05-02 ,No notes
   87 ,"Nez, Le"                                                                           ,Alexeieff                          ,1963 ,History of Animation 06 - Hubley                                                                                                        ,2005-05-02 ,No notes
   88 ,Umrao Jaan                                                                          ,"Ali, M."                          ,1981 ,Open Foreign - Winter 2003                                                                                                              ,2003-01-11 ,No notes
   89 ,Sous Les Yeux d'Occident (Razaumov)                                                 ,Allegret                           ,1936 ,Winter 1950                                                                                                                             ,1950-01-24 ,No notes
